Time,Distance,Player_Pos_X,Player_Pos_Y,Player_Pos_Z,Player_Speed,Player_Health,Player_Turret_X,Player_Turret_Y,Player_Body_X,Player_Body_Y,Player_Body_Z,TurretCam_X,TurretCam_Y,TurretCam_Z,StereoL_X,StereoL_Y,StereoL_Z,StereoL_Roll,StereoL_Pitch,StereoL_Yaw,StereoR_X,StereoR_Y,StereoR_Z,StereoR_Roll,StereoR_Pitch,StereoR_Yaw,Enemy_Pos_X,Enemy_Pos_Y,Enemy_Pos_Z,Enemy_Speed,Enemy_Health,Enemy_Turret_X,Enemy_Turret_Y,Enemy_Body_X,Enemy_Body_Y,Enemy_Body_Z
24.03,113.19,149.9979,9.4189,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1837,150.1177,151.0101,12.2843,150.4073,344.34,12.56,45.23,151.6465,12.0209,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
24.54,113.19,149.9979,9.4222,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1871,150.1177,151.0101,12.2876,150.4073,344.34,12.56,45.23,151.6465,12.0242,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
25.11,113.19,149.9979,9.4167,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1816,150.1177,151.0101,12.2822,150.4073,344.34,12.56,45.23,151.6465,12.0187,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
25.62,113.19,149.9979,9.4273,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1922,150.1177,151.0101,12.2927,150.4073,344.34,12.56,45.23,151.6465,12.0293,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
26.14,113.19,149.9979,9.4012,149.9977,0.05,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1661,150.1177,151.0101,12.2666,150.4073,344.34,12.56,45.23,151.6465,12.0032,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
26.64,113.19,149.9979,9.4343,149.9978,0.07,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1992,150.1177,151.0101,12.2998,150.4073,344.34,12.56,45.23,151.6465,12.0363,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
27.18,113.19,149.9979,9.4298,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1947,150.1177,151.0101,12.2952,150.4073,344.34,12.56,45.23,151.6465,12.0318,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
27.72,113.19,149.9979,9.4274,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1923,150.1177,151.0101,12.2929,150.4073,344.34,12.56,45.23,151.6465,12.0295,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
28.33,113.19,149.9979,9.4155,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1804,150.1177,151.0101,12.2810,150.4073,344.34,12.56,45.23,151.6465,12.0175,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
28.83,113.19,149.9979,9.4071,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1720,150.1177,151.0101,12.2726,150.4073,344.34,12.56,45.23,151.6465,12.0092,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
29.36,113.19,149.9979,9.4321,149.9978,0.05,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1970,150.1177,151.0101,12.2976,150.4073,344.34,12.56,45.23,151.6465,12.0341,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
29.91,113.19,149.9979,9.4177,149.9977,0.03,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1826,150.1177,151.0101,12.2832,150.4073,344.34,12.56,45.23,151.6465,12.0198,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
30.49,113.19,149.9979,9.4058,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1706,150.1177,151.0101,12.2712,150.4073,344.34,12.56,45.23,151.6465,12.0078,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
31.01,113.19,149.9979,9.4200,149.9977,0.03,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1849,150.1177,151.0101,12.2855,150.4073,344.34,12.56,45.23,151.6465,12.0220,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
31.54,113.19,149.9979,9.4203,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1852,150.1177,151.0101,12.2858,150.4073,344.34,12.56,45.23,151.6465,12.0223,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
32.05,113.19,149.9979,9.4132,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1780,150.1177,151.0101,12.2786,150.4073,344.34,12.56,45.23,151.6465,12.0152,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
32.57,113.19,149.9979,9.4156,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1805,150.1177,151.0101,12.2810,150.4073,344.34,12.56,45.23,151.6465,12.0176,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
33.11,113.19,149.9979,9.4152,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1801,150.1177,151.0101,12.2806,150.4073,344.34,12.56,45.23,151.6465,12.0172,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
33.62,113.19,149.9979,9.4262,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2513,12.1911,150.1177,151.0100,12.2916,150.4073,344.34,12.56,45.23,151.6465,12.0282,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
34.14,113.19,149.9979,9.4310,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1959,150.1177,151.0101,12.2964,150.4073,344.34,12.56,45.23,151.6465,12.0330,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
34.65,113.19,149.9979,9.4178,149.9977,0.03,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1827,150.1177,151.0101,12.2833,150.4073,344.34,12.56,45.23,151.6465,12.0199,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
35.17,113.19,149.9979,9.4098,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1747,150.1177,151.0101,12.2752,150.4073,344.34,12.56,45.23,151.6465,12.0118,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
35.73,113.19,149.9979,9.4072,149.9977,0.00,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1721,150.1177,151.0101,12.2727,150.4073,344.34,12.56,45.23,151.6465,12.0092,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
36.25,113.19,149.9979,9.4180,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1829,150.1177,151.0101,12.2834,150.4073,344.34,12.56,45.23,151.6465,12.0200,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
36.77,113.19,149.9979,9.4142,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1791,150.1177,151.0101,12.2797,150.4073,344.34,12.56,45.23,151.6465,12.0163,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
37.34,113.19,149.9979,9.4349,149.9977,0.04,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1998,150.1177,151.0101,12.3003,150.4073,344.34,12.56,45.23,151.6465,12.0369,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
37.85,113.19,149.9979,9.4169,149.9977,0.04,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1818,150.1177,151.0101,12.2824,150.4073,344.34,12.56,45.23,151.6465,12.0190,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
38.37,113.19,149.9979,9.4113,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1762,150.1177,151.0101,12.2767,150.4073,344.34,12.56,45.23,151.6465,12.0133,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
38.93,113.19,149.9979,9.4200,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1849,150.1177,151.0101,12.2854,150.4073,344.34,12.56,45.23,151.6465,12.0220,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
39.44,113.19,149.9979,9.4318,149.9977,0.02,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1967,150.1177,151.0101,12.2973,150.4073,344.34,12.56,45.23,151.6465,12.0339,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
39.98,113.19,149.9979,9.4014,149.9977,0.06,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1663,150.1177,151.0101,12.2669,150.4073,344.34,12.56,45.23,151.6465,12.0034,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
40.50,113.19,149.9979,9.4246,149.9977,0.04,100.00,45.23,-2.93,41.28,11.45,343.52,151.2513,12.1895,150.1177,151.0100,12.2901,150.4073,344.34,12.56,45.23,151.6465,12.0267,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
41.02,113.19,149.9979,9.4304,149.9977,0.01,100.00,45.23,-2.93,41.28,11.45,343.52,151.2514,12.1953,150.1177,151.0101,12.2959,150.4073,344.34,12.56,45.23,151.6465,12.0325,149.6823,344.34,12.56,45.23,230.0182,6.4068,229.9977,0.00,100.00,179.97,-0.04,179.97,0.04,1.73
