timestamp,target_type,target_name,target_index,target_distance,target_bearing,distance,motion_ready,motion_sample_count,reversal_hold_remaining,enemy_velocity_x,enemy_velocity_z,enemy_speed,enemy_accel_x,enemy_accel_z,enemy_accel,intercept_solver,predicted_control_time,predicted_yaw_control_time,predicted_pitch_control_time,target_angle_rate_deg_s,yaw_closing_rate_deg_s,predicted_flight_time,flight_time_correction_factor,predicted_total_intercept_time,lead_distance,player_turret_pitch,desired_pitch,pitch_error,pitch_tolerance,turret_rf_command,turret_rf_weight,turret_error,turret_error_rate,turret_pd_effort_raw,turret_pd_effort,predicted_turret_yaw_rate,body_equivalent_turret_weight,turret_qe_command,turret_qe_weight,body_error,body_signed_effort,predicted_body_yaw_rate,body_coarse_turn_enabled,pitch_signed_effort,predicted_pitch_rate,move_ad_command,move_ad_weight,aim_aligned,predictive_aim_aligned,fire_alignment_ready,predictive_fire_lookahead_seconds,predicted_turret_error_at_fire,predicted_pitch_error_at_fire,spawn_arm_ready,aim_stable_ready,fire
2026-06-24T16:10:43.983,moving_enemy,EnemyTank,0,118.46024224896686,,118.58,True,29,0.0,1.6667,0.003,1.6667,0.0034,-0.0,0.0034,iterative_p_vt_half_at2,0.1767,0.1472,0.0,0.8045,23.3532,2.0644,1.06,2.461,4.1123,9.36,9.21,-0.15,0.2336,STOP,0.0,3.44,-0.162,0.0179,-0.0095,0.779,0.0274,Q,0.009,8.2,0.032,1.191,True,0.0,0.0,D,0.032,False,False,False,0.18,3.298,-0.153,True,False,False
2026-06-24T16:10:44.554,moving_enemy,EnemyTank,0,118.4735990985827,,118.63,True,30,0.0,1.6783,0.003,1.6783,0.0184,0.0001,0.0184,iterative_p_vt_half_at2,0.1755,0.1462,0.0,0.8095,23.3139,2.0654,1.06,2.4609,4.1858,9.36,9.21,-0.15,0.2336,STOP,0.0,3.41,-0.051,0.018,0.018,0.782,0.0,E,0.018,7.96,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.269,-0.152,True,False,False
2026-06-24T16:10:45.134,moving_enemy,EnemyTank,0,118.49326645372327,,118.67,True,31,0.0,1.6739,0.0028,1.6739,0.0078,-0.0002,0.0078,iterative_p_vt_half_at2,0.1697,0.1414,0.0,0.8067,23.2916,2.0663,1.06,2.456,4.1349,9.36,9.21,-0.16,0.2336,STOP,0.0,3.29,-0.198,0.0171,0.0171,0.742,0.0,E,0.017,7.79,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.161,-0.155,True,False,False
2026-06-24T16:10:45.711,moving_enemy,EnemyTank,0,118.51983660420085,,118.73,True,32,0.0,1.6625,0.003,1.6625,-0.0093,0.0001,0.0093,iterative_p_vt_half_at2,0.1698,0.1415,0.0,0.8005,23.3541,2.0675,1.06,2.4572,4.057,9.36,9.22,-0.14,0.2337,STOP,0.0,3.3,0.017,0.0175,-0.0098,0.763,0.0273,Q,0.01,8.17,0.0319,1.188,True,0.0,0.0,D,0.032,False,False,False,0.18,3.167,-0.142,True,False,False
2026-06-24T16:10:46.273,moving_enemy,EnemyTank,0,118.5533185402762,,118.79,True,33,0.0,1.6686,0.0032,1.6686,0.0013,0.0003,0.0013,iterative_p_vt_half_at2,0.1764,0.147,0.0,0.8025,23.4186,2.0689,1.06,2.4653,4.1176,9.36,9.22,-0.14,0.2338,STOP,0.0,3.44,0.246,0.0187,-0.0101,0.815,0.0288,Q,0.01,8.63,0.0337,1.254,True,0.0,0.0,D,0.034,False,False,False,0.18,3.296,-0.14,True,False,False
2026-06-24T16:10:46.857,moving_enemy,EnemyTank,0,118.63952330205714,,118.94,True,35,0.0,1.6683,0.0031,1.6683,0.0002,0.0,0.0002,iterative_p_vt_half_at2,0.1703,0.142,0.0,0.8003,23.34,2.072,1.06,2.4623,4.1085,9.36,9.24,-0.12,0.2339,STOP,0.0,3.31,-0.221,0.0171,-0.0099,0.745,0.027,Q,0.01,8.08,0.0315,1.173,True,0.0,0.0,D,0.031,False,False,False,0.18,3.179,-0.12,True,False,False
2026-06-24T16:10:47.454,moving_enemy,EnemyTank,0,118.69324515748737,,119.02,True,36,0.0,1.6597,0.003,1.6597,-0.011,-0.0,0.011,iterative_p_vt_half_at2,0.1675,0.1396,0.0,0.7952,23.3051,2.0736,1.06,2.4611,4.0513,9.36,9.25,-0.11,0.234,STOP,0.0,3.25,-0.101,0.017,0.017,0.741,0.0,E,0.017,7.8,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.12,-0.112,True,False,False
2026-06-24T16:10:48.020,moving_enemy,EnemyTank,0,118.75270803301655,,119.12,True,37,0.0,1.6744,0.003,1.6744,0.012,0.0,0.012,iterative_p_vt_half_at2,0.17,0.1416,0.0,0.8009,23.3466,2.0758,1.06,2.4657,4.165,9.36,9.27,-0.09,0.2341,STOP,0.0,3.31,0.094,0.0177,-0.0094,0.77,0.0271,Q,0.009,8.13,0.0317,1.181,True,0.0,0.0,D,0.032,False,False,False,0.18,3.168,-0.093,True,False,False
2026-06-24T16:10:48.575,moving_enemy,EnemyTank,0,118.81864606477616,,119.22,True,38,0.0,1.6736,0.003,1.6736,0.0078,-0.0,0.0078,iterative_p_vt_half_at2,0.1706,0.1421,0.0,0.7992,23.3408,2.0777,1.06,2.4683,4.1547,9.36,9.27,-0.09,0.2342,STOP,0.0,3.32,0.019,0.0176,-0.0093,0.766,0.027,Q,0.009,8.07,0.0315,1.173,True,0.0,0.0,D,0.031,False,False,False,0.18,3.179,-0.091,True,False,False
2026-06-24T16:10:49.146,moving_enemy,EnemyTank,0,118.8916215417187,,119.31,True,39,0.0,1.6664,0.0031,1.6664,-0.0037,0.0001,0.0037,iterative_p_vt_half_at2,0.1667,0.1389,0.0,0.7944,23.306,2.0797,1.06,2.4664,4.0987,9.36,9.28,-0.09,0.2342,STOP,0.0,3.24,-0.141,0.0169,0.0169,0.734,0.0,E,0.017,7.8,0.0,0.0,False,0.0,0.0,STOP,0.0,False,False,False,0.18,3.105,-0.087,True,False,False
